geonameid;name;latitude;longitude;fclass;acode;population
472755;Волгоградская область;49;44;A;84;2702000
499383;Сахалинская область;54.45641;48.06168;P;81;546000
504338;Псковская область;57.5;29;A;60;760000
515001;Оренбургская область;52;56;A;55;2177000
519324;Новгородская область;58.5;32.5;A;6;694000
535120;Липецкая область;52.5;39;A;43;1213000
536199;Ленинградская область;60;32;A;42;1671000
543871;Костромская область;58.5;44;A;37;737000
554230;Калининградская область;54.75;21.5;A;23;955000
555235;Ивановская область;57;41.75;A;21;1148000
559838;Нижегородская область;56;45;A;51;3524000
571473;Брянская область;53;33.5;A;10;1378000
580491;Астраханская область;47;48;A;7;1007000
814300;Амурская область;54.15495;34.31406;P;25;902000
826294;Владимирская область;56;40.5;A;83;1524000
866245;Камчатка,Камчатскя область;44.70676;37.63154;P;92;358000
1496745;Новосибирская область;55;80;A;53;2692000
1501312;Курганская область;55.5;64;A;40;1019000
1508290;Челябинская область;54;60.5;A;13;3606000
2023468;Иркутская область;56;106;A;20;2581000
2123627;Магаданская область;63;154;A;44;182000